population,responder_n,non_responder_n,responder_mean_percentage,non_responder_mean_percentage,responder_median_percentage,non_responder_median_percentage,mean_difference_percentage,median_difference_percentage,test,test_statistic,p_value,fdr_bh,significant_fdr_0_05
cd4_t_cell,993,975,30.537808341850095,29.902261776254058,30.22056448672133,29.65760700451731,0.6355465655960373,0.5629574822040198,mann_whitney_u,515276.0,0.01334421881393762,0.0667210940696881,False
b_cell,993,975,9.797552613770158,9.996319710875161,9.432277716506485,9.788394525529014,-0.1987670971050033,-0.35611680902252907,mann_whitney_u,459971.0,0.05570230973826624,0.13925577434566558,False
nk_cell,993,975,14.84094427086041,15.07316621464659,14.509281611587447,14.799142593764925,-0.23222194378618077,-0.289860982177478,mann_whitney_u,464546.0,0.12105079820428571,0.2017513303404762,False
monocyte,993,975,19.941763178422633,20.084327940698326,19.609697542876887,19.942332781511407,-0.14256476227569337,-0.33263523863451994,mann_whitney_u,466510.0,0.16315013268752876,0.20393766585941095,False
cd8_t_cell,993,975,24.881931595096706,24.94392435752586,24.728022127013396,24.603067146867414,-0.06199276242915275,0.12495498014598283,mann_whitney_u,478176.0,0.6390858847346418,0.6390858847346418,False
