population,n_samples,n_subjects,responder_subjects,non_responder_subjects,response_coef,response_p_value,interaction_time7_coef,interaction_time7_p_value,interaction_time14_coef,interaction_time14_p_value,joint_response_time_wald_stat,joint_response_time_df,joint_response_time_p_value,joint_response_time_fdr_bh,significant_fdr_0_05
cd4_t_cell,1968,656,331,325,0.006885077071026636,0.710497191571507,0.040887004416470016,0.1250263734881057,0.0262267153360476,0.3169905410572119,10.029673260317871,3,0.0183155786177789,0.0915778930888945,False
b_cell,1968,656,331,325,0.035550777433668995,0.19909390175132868,-0.07395245582122681,0.07201706628885073,-0.09534792277195037,0.017748016382335967,7.354511186036094,3,0.06141691219129838,0.15354228047824595,False
nk_cell,1968,656,331,325,0.0030884175501602116,0.8963900236808868,-0.034866386287339034,0.31705223888719314,-0.029290085700003604,0.39710307944899503,3.151779567786255,3,0.3688105579181542,0.6146842631969237,False
monocyte,1968,656,331,325,-0.01944385732861673,0.3558199215452065,0.011413459589140695,0.7055061796875173,0.022843385088884772,0.4667550559926964,1.0554335867378346,3,0.7878419936554519,0.9200848561183209,False
cd8_t_cell,1968,656,331,325,-0.010170890963907761,0.6077768814010519,0.003056948913967579,0.9125127795073484,0.015735351672007604,0.5672445760729528,0.49456029252644984,3,0.9200848561183209,0.9200848561183209,False
